YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","1,000 to 4,999 employees",Viet Nam,520000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,455000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,2000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Research & Development role,"5,000 to 9,999 employees",Viet Nam,795000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,600000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4,Some college/university study without earning a degree,"Developer, full-stack",100 to 499 employees,Viet Nam,360000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",500 to 999 employees,Viet Nam,210500000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,500 to 999 employees,Viet Nam,1267245000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Developer Experience,"5,000 to 9,999 employees",Viet Nam,30000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,169000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,1235000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,350000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4,"Associate degree (A.A., A.S., etc.)","Developer, front-end","10,000 or more employees",Viet Nam,140000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,32500.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,7300.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,1000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,480500000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,240000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,102000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,Viet Nam,70000.0,NOT PROVIDED,EUR European Euro,NOT PROVIDED,35-44 years old,NOT PROVIDED
1,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Blockchain,100 to 499 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,156000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, site reliability",500 to 999 employees,Viet Nam,1000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,18-24 years old,NOT PROVIDED
11,Some college/university study without earning a degree,"Developer, back-end",500 to 999 employees,Viet Nam,560000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,10000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Research & Development role,20 to 99 employees,Viet Nam,520000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",20 to 99 employees,Viet Nam,36000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
Not provided,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,296000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
Less than 1 year,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",500 to 999 employees,Viet Nam,8000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,55000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,690000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,234000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,Some college/university study without earning a degree,"Developer, embedded applications or devices","5,000 to 9,999 employees",Viet Nam,140000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data",500 to 999 employees,Viet Nam,10000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
10,Some college/university study without earning a degree,Research & Development role,100 to 499 employees,Viet Nam,500.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","1,000 to 4,999 employees",Viet Nam,206500000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",10 to 19 employees,Viet Nam,144000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,456000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","1,000 to 4,999 employees",Viet Nam,170000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",100 to 499 employees,Viet Nam,1000000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,700000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3,Something else,"Developer, full-stack",100 to 499 employees,Viet Nam,150000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
Less than 1 year,"Associate degree (A.A., A.S., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,390000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","10,000 or more employees",Viet Nam,130000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","1,000 to 4,999 employees",Viet Nam,780000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","10,000 or more employees",Viet Nam,1081000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","10,000 or more employees",Viet Nam,150000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,160000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,250000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
16,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",20 to 99 employees,Viet Nam,1040000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,40000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,250000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Scientist,"1,000 to 4,999 employees",Viet Nam,40000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
Not provided,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,1300.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,18-24 years old,NOT PROVIDED
4,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data",500 to 999 employees,Viet Nam,11000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,600000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,910000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,20017000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
11,Some college/university study without earning a degree,"Developer, full-stack",10 to 19 employees,Viet Nam,550000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
18,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,1442000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,220000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,260000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,9000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,80000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",20 to 99 employees,Viet Nam,370000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",500 to 999 employees,Viet Nam,494000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data","10,000 or more employees",Viet Nam,288000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
4,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",10 to 19 employees,Viet Nam,420000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",500 to 999 employees,Viet Nam,9000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,240000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Security professional,10 to 19 employees,Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data","10,000 or more employees",Viet Nam,336000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",100 to 499 employees,Viet Nam,40000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,0.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Research & Development role,10 to 19 employees,Viet Nam,288000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,100 to 499 employees,Viet Nam,6750000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
13,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Data scientist or machine learning specialist,100 to 499 employees,Viet Nam,83000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,35-44 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,"10,000 or more employees",Viet Nam,320000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,11400.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,18-24 years old,NOT PROVIDED
13,Some college/university study without earning a degree,"Developer, full-stack",10 to 19 employees,Viet Nam,30000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,35-44 years old,NOT PROVIDED
4,"Associate degree (A.A., A.S., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,10000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,220000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,481000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
12,Some college/university study without earning a degree,"Developer, front-end",100 to 499 employees,Viet Nam,780000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
3,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,24000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
3,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,12000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Designer,100 to 499 employees,Viet Nam,400000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,60000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,650000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,12000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
Not provided,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","10,000 or more employees",Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,350000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,900.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,330000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",10 to 19 employees,Viet Nam,400000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",I don’t know,Viet Nam,560000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,383000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,"1,000 to 4,999 employees",Viet Nam,132000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,25000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",10 to 19 employees,Viet Nam,360000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,637536000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,160000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,240000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
10,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,180000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,208000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist,20 to 99 employees,Viet Nam,360000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
10,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,"10,000 or more employees",Viet Nam,13000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,1600000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Security professional,"10,000 or more employees",Viet Nam,300000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",10 to 19 employees,Viet Nam,360000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",System administrator,20 to 99 employees,Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
9,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,35000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",20 to 99 employees,Viet Nam,200000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
11,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data scientist or machine learning specialist,100 to 499 employees,Viet Nam,230000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
11,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",100 to 499 employees,Viet Nam,650000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,25-34 years old,NOT PROVIDED
15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,52000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
14,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",I don’t know,Viet Nam,20000.0,NOT PROVIDED,USD	United States dollar,NOT PROVIDED,25-34 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,120000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,400000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Academic researcher,10 to 19 employees,Viet Nam,450000000.0,NOT PROVIDED,VND	Vietnamese dong,NOT PROVIDED,18-24 years old,NOT PROVIDED
